Fe2O3,MnO,P2O5,SiO2,TiO2,Al2O3,CaO,Na2O,MgO,K2O,MAP
3.32,0.05,0.05,88.26,0.72,8.98,0.64,1.12,0.58,1.97,1201.87
3.39,0.1,0.13,91.99,0.72,8.72,0.52,0.95,0.67,2.02,1201.76
1.58,0.01,0.06,96.45,0.7,4.53,0.01,0.08,0.16,0.58,1074.19
2.88,0.09,0.11,87.73,0.71,7.7,0.44,0.84,0.53,1.89,1201.76
2.77,0.05,0.11,72.03,0.46,6.41,0.87,1.85,0.75,2.99,347.37
4.44,0.08,0.1,85.41,0.74,10.16,0.45,0.89,0.77,1.97,1201.87
2.6,0.03,0.13,72.41,0.27,13.55,1.43,2.05,0.97,4.71,433.33
3.89,0.05,0.06,67.68,0.95,13.38,0.09,0.74,0.56,4,1315.97
2.8,0.05,0.03,89,0.77,6.69,0.04,0.11,0.34,1.18,1409.83
2.49,0.05,0.06,76.22,0.35,13.11,1.65,2.4,0.87,3.71,192.87
4.65,0.04,0.06,79.29,0.84,9.71,0.36,0.77,0.63,1.91,1207.91
1.55,0.02,0.05,79.82,1.21,3.05,0.02,0.17,0.01,0.72,1125.65
3.48,0.03,0.07,69.01,0.84,12.47,0.03,0.65,0.42,3.82,1315.97
4.05,0.04,0.06,71.81,0.79,11.44,0.06,1.39,0.6,2.59,1508.65
2.85,0.01,0.02,85.45,1.12,6.72,0.03,0.08,0.23,0.58,1258.78
2.75,0.01,0.05,90.57,0.79,8.64,0.01,0.08,0.32,1.08,1067.97
2.41,0.01,0.06,86.95,0.74,8.13,0.01,0.29,0.29,1.35,1192.81
1.79,0.03,0.04,85.98,0.35,7.6,0.39,0.7,0.6,2.01,633.23
4.73,0.03,0.06,85.44,0.91,10.06,0.37,0.18,0.57,1.45,1207.91
2.96,0.03,0.08,86.08,0.85,8.17,0.04,0.23,0.33,1.25,1087.5
4.32,0.07,0.13,72.53,0.81,6.91,0.49,1.46,0.82,1.81,1219.59
2.02,0.04,0.06,75.99,0.45,7.78,1.23,2.14,0.38,2.3,1216.95
